"","compound","Conduct problems","Emotional symptoms","Hyperactivity/Inattention","Peer relationships problems","Prosocial behavior","Total difficulties","Internalizing score","Externalizing score"
"1","MMP","0.151 [ 0 ; 0.303 ]   **","0.062 [ -0.11 ; 0.234 ]   -","0.082 [ -0.046 ; 0.21 ]   -","0.122 [ -0.097 ; 0.342 ]   -","0.329 [ 0.129 ; 0.528 ]   **","0.094 [ -0.017 ; 0.205 ]   *","0.086 [ -0.074 ; 0.246 ]   -","0.101 [ -0.018 ; 0.221 ]   *"
"2","MEP","0.117 [ -0.044 ; 0.277 ]   -","0.02 [ -0.158 ; 0.197 ]   -","0.066 [ -0.065 ; 0.197 ]   -","0.008 [ -0.219 ; 0.235 ]   -","0.086 [ -0.129 ; 0.301 ]   -","0.059 [ -0.055 ; 0.173 ]   -","0.017 [ -0.147 ; 0.182 ]   -","0.083 [ -0.04 ; 0.206 ]   -"
"3","MBzP","0.077 [ -0.098 ; 0.253 ]   -","-0.067 [ -0.256 ; 0.122 ]   -","-0.052 [ -0.193 ; 0.089 ]   -","0.019 [ -0.225 ; 0.263 ]   -","-0.086 [ -0.317 ; 0.146 ]   -","-0.02 [ -0.142 ; 0.102 ]   -","-0.033 [ -0.208 ; 0.143 ]   -","-0.013 [ -0.145 ; 0.12 ]   -"
"4","SumDiBP","0.088 [ -0.078 ; 0.255 ]   -","0.06 [ -0.123 ; 0.242 ]   -","0.073 [ -0.062 ; 0.207 ]   -","-0.048 [ -0.28 ; 0.184 ]   -","0.011 [ -0.21 ; 0.231 ]   -","0.056 [ -0.061 ; 0.173 ]   -","0.021 [ -0.148 ; 0.189 ]   -","0.078 [ -0.048 ; 0.205 ]   -"
"5","SumDnBP","0.075 [ -0.091 ; 0.241 ]   -","0.12 [ -0.06 ; 0.299 ]   -","0.106 [ -0.028 ; 0.239 ]   -","0.1 [ -0.131 ; 0.331 ]   -","0.049 [ -0.169 ; 0.267 ]   -","0.102 [ -0.013 ; 0.218 ]   *","0.112 [ -0.055 ; 0.278 ]   -","0.096 [ -0.029 ; 0.221 ]   -"
"6","SumDEHP","0.166 [ 0.001 ; 0.331 ]   **","0.016 [ -0.167 ; 0.199 ]   -","0.061 [ -0.075 ; 0.196 ]   -","-0.059 [ -0.293 ; 0.175 ]   -","0.087 [ -0.134 ; 0.308 ]   -","0.056 [ -0.061 ; 0.174 ]   -","-0.009 [ -0.179 ; 0.16 ]   -","0.095 [ -0.032 ; 0.222 ]   -"
"7","SumDiNP","0.117 [ -0.042 ; 0.276 ]   -","0.033 [ -0.145 ; 0.21 ]   -","-0.016 [ -0.147 ; 0.116 ]   -","-0.036 [ -0.263 ; 0.191 ]   -","-0.022 [ -0.238 ; 0.193 ]   -","0.017 [ -0.097 ; 0.131 ]   -","0.009 [ -0.155 ; 0.173 ]   -","0.024 [ -0.099 ; 0.147 ]   -"
"8","SumDiDP","0.158 [ 0.003 ; 0.312 ]   **","-0.041 [ -0.219 ; 0.138 ]   -","0.06 [ -0.069 ; 0.19 ]   -","-0.052 [ -0.278 ; 0.174 ]   -","0.076 [ -0.135 ; 0.288 ]   -","0.043 [ -0.071 ; 0.156 ]   -","-0.044 [ -0.209 ; 0.12 ]   -","0.094 [ -0.027 ; 0.216 ]   -"
"9","BPA","0.107 [ -0.053 ; 0.266 ]   -","0.194 [ 0.02 ; 0.368 ]   **","0.087 [ -0.044 ; 0.218 ]   -","0.033 [ -0.195 ; 0.26 ]   -","0.062 [ -0.153 ; 0.276 ]   -","0.105 [ -0.008 ; 0.219 ]   *","0.131 [ -0.031 ; 0.293 ]   -","0.093 [ -0.03 ; 0.215 ]   -"
"10","BPF","0.074 [ -0.206 ; 0.354 ]   -","0.056 [ -0.263 ; 0.375 ]   -","0.017 [ -0.186 ; 0.221 ]   -","0.033 [ -0.297 ; 0.363 ]   -","-0.15 [ -0.547 ; 0.247 ]   -","0.023 [ -0.164 ; 0.21 ]   -","0.038 [ -0.234 ; 0.31 ]   -","0.023 [ -0.174 ; 0.221 ]   -"
"11","SumDEHTP","0.259 [ -0.02 ; 0.538 ]   *","-0.064 [ -0.382 ; 0.253 ]   -","0.05 [ -0.153 ; 0.253 ]   -","-0.12 [ -0.476 ; 0.236 ]   -","0.485 [ 0.097 ; 0.872 ]   **","0.038 [ -0.149 ; 0.225 ]   -","-0.094 [ -0.369 ; 0.18 ]   -","0.117 [ -0.077 ; 0.31 ]   -"
"12","SumDINCH","-0.097 [ -0.393 ; 0.199 ]   -","-0.01 [ -0.34 ; 0.319 ]   -","-0.207 [ -0.416 ; 0.001 ]   *","-0.209 [ -0.569 ; 0.151 ]   -","-0.161 [ -0.564 ; 0.242 ]   -","-0.164 [ -0.355 ; 0.027 ]   *","-0.095 [ -0.376 ; 0.187 ]   -","-0.191 [ -0.391 ; 0.009 ]   *"
